SAM3	S000006195	amino acid transport	GO:0006865
MCD1	S000002161	DNA replication	GO:0006260
RPL2B	S000001280	structural molecule activity	GO:0005198
PEX3	S000002737	protein binding, bridging	GO:0030674
RRP8	S000002490	nucleus	GO:0005634
ARP5	S000005004	chromatin organization	GO:0006325
GLC8	S000004928	enzyme regulator activity	GO:0030234
RFA2	S000005256	protein modification by small protein conjugation or removal	GO:0070647
YDL121C	S000002279	cytoplasm	GO:0005737
POM152	S000004736	membrane	GO:0016020
GAL1	S000000224	cytoplasm	GO:0005737
MYO5	S000004715	exocytosis	GO:0006887
GRX6	S000002168	endoplasmic reticulum	GO:0005783
NSI1	S000002433	DNA-templated transcription, termination	GO:0006353
YPL041C	S000005962	biological process	GO:0008150
LNP1	S000001235	endoplasmic reticulum	GO:0005783
RNH70	S000003508	nuclease activity	GO:0004518
RPL40B	S000001802	ribosome	GO:0005840
SSU72	S000005166	DNA-templated transcription, elongation	GO:0006354
YNL033W	S000004978	cellular component	GO:0005575
RTC3	S000001129	nucleus	GO:0005634
SRX1	S000001569	response to oxidative stress	GO:0006979
YNL046W	S000004991	endoplasmic reticulum	GO:0005783
GAS4	S000005492	cell wall organization or biogenesis	GO:0071554
QDR1	S000001382	cell wall organization or biogenesis	GO:0071554
MPC2	S000001205	ion transport	GO:0006811
RIM2	S000000396	nucleobase-containing compound transport	GO:0015931
RHO3	S000001380	GTPase activity	GO:0003924
MEX67	S000006090	RNA binding	GO:0003723
MIC19	S000001907	molecular function	GO:0003674
XRS2	S000002777	telomere organization	GO:0032200
ADH4	S000003225	generation of precursor metabolites and energy	GO:0006091
MGR3	S000004721	membrane	GO:0016020
VTC1	S000000874	vacuole	GO:0005773
tS(AGA)D2	S000006722	RNA binding	GO:0003723
YGR018C	S000003250	cellular component	GO:0005575
tV(UAC)D	S000006770	translational elongation	GO:0006414
EFG1	S000007608	nucleus	GO:0005634
PMR1	S000003135	hydrolase activity	GO:0016787
SRN2	S000004109	membrane	GO:0016020
ARK1	S000004965	regulation of transport	GO:0051049
IMP1	S000004758	protein targeting	GO:0006605
SYO1	S000002221	molecular function	GO:0003674
BRN1	S000000193	organelle fission	GO:0048285
DUS3	S000004393	oxidoreductase activity	GO:0016491
YKT6	S000001679	vacuole	GO:0005773
NOP1	S000002172	ribosome	GO:0005840
NPL3	S000002840	RNA splicing	GO:0008380
YRF1-2	S000000992	DNA recombination	GO:0006310
PGM1	S000001610	isomerase activity	GO:0016853
FSH2	S000004835	biological process	GO:0008150
FUN14	S000000006	biological process	GO:0008150
BRE1	S000002232	nucleus	GO:0005634
ALG8	S000005593	transferase activity	GO:0016740
ACO2	S000003736	cytoplasm	GO:0005737
SEC24	S000001371	cytoplasm	GO:0005737
SWD1	S000000064	histone modification	GO:0016570
PAU8	S000002142	cellular component	GO:0005575
MTQ1	S000005007	translational elongation	GO:0006414
YIL067C	S000001329	molecular function	GO:0003674
IMA4	S000003757	oligosaccharide metabolic process	GO:0009311
NOP9	S000003547	RNA binding	GO:0003723
RME1	S000003276	nucleic acid binding transcription factor activity	GO:0001071
MRPL50	S000005305	mitochondrion organization	GO:0007005
HTA2	S000000099	DNA binding	GO:0003677
YMR295C	S000004910	site of polarized growth	GO:0030427
BTN2	S000003374	endosomal transport	GO:0016197
GCY1	S000005646	RNA binding	GO:0003723
TEX1	S000005197	nucleobase-containing compound transport	GO:0015931
MRH1	S000002440	molecular function	GO:0003674
SNF5	S000000493	nucleus	GO:0005634
SNX3	S000005884	cytoplasm	GO:0005737
NUP60	S000000063	ion binding	GO:0043167
CSH1	S000000365	transferase activity, transferring glycosyl groups	GO:0016757
YMR1	S000003871	lipid metabolic process	GO:0006629
UMP1	S000000377	proteolysis involved in cellular protein catabolic process	GO:0051603
tW(UCA)Q	S000007337	mitochondrion	GO:0005739
CDC25	S000004301	membrane	GO:0016020
YNL115C	S000005059	biological process	GO:0008150
SSL2	S000001405	cytoplasm	GO:0005737
ARO9	S000001179	nucleus	GO:0005634
ARO80	S000002829	DNA binding	GO:0003677
PUT1	S000004132	oxidoreductase activity	GO:0016491
TOM40	S000004816	protein targeting	GO:0006605
HRR25	S000006125	chromosome	GO:0005694
HFM1	S000003220	DNA recombination	GO:0006310
IRC22	S000000727	molecular function	GO:0003674
RAI1	S000003215	enzyme regulator activity	GO:0030234
RPS23B	S000006336	ribosome	GO:0005840
MAP1	S000004234	mRNA binding	GO:0003729
PFS1	S000001228	molecular function	GO:0003674
POR2	S000001376	cytoplasm	GO:0005737
MDM31	S000001237	cellular ion homeostasis	GO:0006873
YHL012W	S000001004	molecular function	GO:0003674
SUI3	S000006158	cytoplasm	GO:0005737
SNF8	S000005923	cytoplasm	GO:0005737
YDL086W	S000002244	biological process	GO:0008150
RPD3	S000005274	regulation of DNA metabolic process	GO:0051052
FMC1	S000001360	cytoplasm	GO:0005737
FAR3	S000004656	molecular function	GO:0003674
YGR122W	S000003354	plasma membrane	GO:0005886
MOD5	S000005800	transferase activity	GO:0016740
BMT2	S000000345	nucleus	GO:0005634
MSH1	S000001162	mitochondrion organization	GO:0007005
YDL086W	S000002244	mitochondrion	GO:0005739
RAS1	S000005627	plasma membrane	GO:0005886
STT3	S000002990	membrane	GO:0016020
IFM1	S000005383	translation factor activity, nucleic acid binding	GO:0008135
WHI2	S000005569	cytoskeleton organization	GO:0007010
ARA1	S000000353	carbohydrate metabolic process	GO:0005975
KEL2	S000003470	molecular function	GO:0003674
SPS1	S000002931	transferase activity	GO:0016740
YBR201C-A	S000087085	molecular function	GO:0003674
CPR8	S000005311	biological process	GO:0008150
AFG3	S000000819	protein maturation	GO:0051604
YGL230C	S000003199	cytoplasm	GO:0005737
LEM3	S000005267	ion transport	GO:0006811
UBP7	S000001418	protein modification by small protein conjugation or removal	GO:0070647
DIB1	S000006286	nucleus	GO:0005634
SPC97	S000001215	cytoskeleton organization	GO:0007010
PSF3	S000005506	nucleus	GO:0005634
SOF1	S000003934	rRNA processing	GO:0006364
AGP1	S000000530	transmembrane transporter activity	GO:0022857
MNN2	S000000219	transferase activity	GO:0016740
ARK1	S000004965	kinase activity	GO:0016301
MRPL24	S000004806	mitochondrion organization	GO:0007005
YHL009W-B	S000007372	nucleotidyltransferase activity	GO:0016779
RPN9	S000002835	proteolysis involved in cellular protein catabolic process	GO:0051603
CHK1	S000000478	kinase activity	GO:0016301
MED2	S000002163	protein binding transcription factor activity	GO:0000988
MCD4	S000001648	endoplasmic reticulum	GO:0005783
TRM44	S000005951	methyltransferase activity	GO:0008168
PHO86	S000003653	Golgi vesicle transport	GO:0048193
YEL075C	S000000801	molecular function	GO:0003674
IMA1	S000003519	oligosaccharide metabolic process	GO:0009311
RDN5-3	S000006481	molecular function	GO:0003674
LSM12	S000001163	nucleus	GO:0005634
SPG4	S000004713	molecular function	GO:0003674
ELO2	S000000630	cytoplasm	GO:0005737
BOR1	S000005219	cytoplasm	GO:0005737
NDE1	S000004753	oxidoreductase activity	GO:0016491
EMT2	S000006666	triplet codon-amino acid adaptor activity	GO:0030533
YGR038C-B	S000007408	hydrolase activity	GO:0016787
CLB5	S000006324	nucleus	GO:0005634
CSI1	S000004627	nucleus	GO:0005634
KAR9	S000006190	microtubule organizing center	GO:0005815
PRP11	S000002201	mRNA processing	GO:0006397
ERG8	S000004833	kinase activity	GO:0016301
YDL109C	S000002267	cellular component	GO:0005575
MSD1	S000006025	mitochondrion organization	GO:0007005
SAM3	S000006195	transmembrane transporter activity	GO:0022857
NAT2	S000003379	peptidyl-amino acid modification	GO:0018193
CMC4	S000028514	mitochondrion	GO:0005739
YDL206W	S000002365	molecular function	GO:0003674
tH(GUG)G1	S000006595	RNA binding	GO:0003723
PRS4	S000000164	cytoplasm	GO:0005737
BUD6	S000004311	mitotic cell cycle	GO:0000278
LEU4	S000005048	cellular amino acid metabolic process	GO:0006520
AIM7	S000002470	cytoskeleton	GO:0005856
RIB5	S000000460	vitamin metabolic process	GO:0006766
CAB4	S000003509	nucleotidyltransferase activity	GO:0016779
ICY1	S000004808	cytoplasm	GO:0005737
SEN2	S000004095	RNA splicing	GO:0008380
MDH3	S000002236	monocarboxylic acid metabolic process	GO:0032787
APL5	S000006116	membrane	GO:0016020
TMN3	S000000915	cytoplasmic membrane-bounded vesicle	GO:0016023
MDM34	S000003187	mitochondrion organization	GO:0007005
SSC1	S000003806	hydrolase activity	GO:0016787
SFM1	S000005547	peptidyl-amino acid modification	GO:0018193
RSR1	S000003384	signaling	GO:0023052
COX14	S000004598	regulation of translation	GO:0006417
CYR1	S000003542	endoplasmic reticulum	GO:0005783
MED2	S000002163	DNA-templated transcription, initiation	GO:0006352
YNG2	S000001132	transferase activity	GO:0016740
NDJ1	S000005464	regulation of cell cycle	GO:0051726
RGA2	S000002787	site of polarized growth	GO:0030427
YHR127W	S000001169	molecular function	GO:0003674
HTS1	S000006237	cytoplasm	GO:0005737
IRC19	S000003956	cellular component	GO:0005575
GDT1	S000000391	cellular ion homeostasis	GO:0006873
YJR030C	S000003791	molecular function	GO:0003674
RHB1	S000000622	membrane	GO:0016020
BDH1	S000000056	cytoplasm	GO:0005737
SRS2	S000003628	DNA repair	GO:0006281
YPS3	S000004111	membrane	GO:0016020
MGE1	S000005758	membrane	GO:0016020
CDC4	S000001885	nucleus	GO:0005634
CLN2	S000006177	response to chemical	GO:0042221
AI1	S000007261	hydrolase activity	GO:0016787
tN(GUU)L	S000006672	cytoplasm	GO:0005737
SNR35	S000007299	rRNA binding	GO:0019843
COX3	S000007283	mitochondrion	GO:0005739
TEC1	S000000287	protein binding transcription factor activity	GO:0000988
CEG1	S000003098	nucleus	GO:0005634
NPR1	S000005127	regulation of transport	GO:0051049
SHP1	S000000154	enzyme regulator activity	GO:0030234
YOS9	S000002464	endoplasmic reticulum	GO:0005783
tV(UAC)Q	S000007336	RNA binding	GO:0003723
GIS4	S000004465	membrane	GO:0016020
ICL2	S000006210	mitochondrion	GO:0005739
MCM2	S000000119	cytoplasm	GO:0005737
VPS41	S000002487	membrane invagination	GO:0010324
SUF3	S000006572	RNA binding	GO:0003723
KNH1	S000002207	carbohydrate metabolic process	GO:0005975
SNF11	S000002480	cytoplasm	GO:0005737
GRR1	S000003850	cellular response to DNA damage stimulus	GO:0006974
MMS2	S000003055	protein complex biogenesis	GO:0070271
POM152	S000004736	mitochondrion	GO:0005739
YBR012W-B	S000002155	transposition	GO:0032196
tR(UCU)K	S000006716	translational elongation	GO:0006414
STD1	S000005573	carbohydrate metabolic process	GO:0005975
FZO1	S000000383	membrane	GO:0016020
DUS4	S000004397	cellular component	GO:0005575
GIM5	S000004559	cytoskeletal protein binding	GO:0008092
RAD59	S000002217	DNA repair	GO:0006281
YMR105W-A	S000028692	molecular function	GO:0003674
COX18	S000003294	membrane	GO:0016020
MAL43	S000029688	nucleic acid binding transcription factor activity	GO:0001071
PHD1	S000001526	nucleic acid binding transcription factor activity	GO:0001071
YOR385W	S000005912	molecular function	GO:0003674
VMA21	S000003337	protein complex biogenesis	GO:0070271
PRO1	S000002708	cellular amino acid metabolic process	GO:0006520
MIH1	S000004639	regulation of protein modification process	GO:0031399
SDH1	S000001631	cellular respiration	GO:0045333
SOH1	S000003095	molecular function	GO:0003674
FOL2	S000003499	cellular amino acid metabolic process	GO:0006520
tK(CUU)P	S000006628	cytoplasm	GO:0005737
TAF4	S000004607	DNA-templated transcription, initiation	GO:0006352
LDB16	S000000511	molecular function	GO:0003674
MRK1	S000002237	protein phosphorylation	GO:0006468
URK1	S000005295	cytoplasm	GO:0005737
SAM35	S000001125	molecular function	GO:0003674
SPC34	S000001745	chromosome segregation	GO:0007059
YMR102C	S000004708	molecular function	GO:0003674
GCN5	S000003484	protein binding transcription factor activity	GO:0000988
TAE1	S000000465	protein alkylation	GO:0008213
TIM10	S000003530	membrane	GO:0016020
GOR1	S000005218	oxidoreductase activity	GO:0016491
YFR018C	S000001914	biological process	GO:0008150
EDC3	S000000741	nucleus	GO:0005634
SPO21	S000005451	cytoskeleton	GO:0005856
tG(GCC)D2	S000006577	triplet codon-amino acid adaptor activity	GO:0030533
YPL257W-B	S000007358	nuclease activity	GO:0004518
MRPL28	S000002870	cytoplasm	GO:0005737
ERI1	S000028423	membrane	GO:0016020
PDC1	S000004034	lyase activity	GO:0016829
tF(GAA)P2	S000006571	triplet codon-amino acid adaptor activity	GO:0030533
RED1	S000004253	regulation of cell cycle	GO:0051726
SGT1	S000005583	protein binding, bridging	GO:0030674
YAR061W	S000000087	cellular component	GO:0005575
CYC1	S000003809	generation of precursor metabolites and energy	GO:0006091
AIF1	S000005357	nucleus	GO:0005634
RHO3	S000001380	membrane	GO:0016020
DBP5	S000005572	site of polarized growth	GO:0030427
YOR389W	S000005916	biological process	GO:0008150
AIM46	S000001242	cytoplasm	GO:0005737
YNL034W	S000004979	biological process	GO:0008150
PNP1	S000004199	nucleobase-containing small molecule metabolic process	GO:0055086
BOI2	S000000916	ion binding	GO:0043167
SSE2	S000000373	enzyme regulator activity	GO:0030234
PCH2	S000000390	nucleus	GO:0005634
CDS1	S000000233	cytoplasmic membrane-bounded vesicle	GO:0016023
YDR098C-A	S000007390	RNA binding	GO:0003723
ERG28	S000000846	cytoplasm	GO:0005737
SAC6	S000002536	membrane	GO:0016020
YCP4	S000000597	membrane	GO:0016020
PEP7	S000002731	vesicle organization	GO:0016050
PRP19	S000003959	mRNA processing	GO:0006397
UBC1	S000002584	protein modification by small protein conjugation or removal	GO:0070647
VRP1	S000004329	cytoskeleton	GO:0005856
CBP2	S000001030	mitochondrion	GO:0005739
GOS1	S000001023	membrane fusion	GO:0061025
MMS4	S000000302	organelle fission	GO:0048285
YMR074C	S000004678	cytoplasm	GO:0005737
HAT2	S000000782	peptidyl-amino acid modification	GO:0018193
CBS2	S000002605	mitochondrion	GO:0005739
ERV2	S000006241	endoplasmic reticulum	GO:0005783
tS(AGA)D2	S000006722	triplet codon-amino acid adaptor activity	GO:0030533
NME1	S000007436	regulation of cell cycle	GO:0051726
SNR61	S000006452	RNA modification	GO:0009451
IMA5	S000003752	hydrolase activity	GO:0016787
PGA1	S000005102	nucleus	GO:0005634
CPR8	S000005311	isomerase activity	GO:0016853
YPS5	S000003228	biological process	GO:0008150
HSP12	S000001880	plasma membrane	GO:0005886
NUP60	S000000063	cytoplasm	GO:0005737
COX15	S000000943	oxidoreductase activity	GO:0016491
SPO73	S000000848	cytoplasm	GO:0005737
LSM2	S000000122	RNA binding	GO:0003723
APM3	S000000492	protein targeting	GO:0006605
YAK1	S000003677	transferase activity	GO:0016740
YOL166W-A	S000028709	molecular function	GO:0003674
SPP1	S000006059	histone binding	GO:0042393
YPL150W	S000006071	kinase activity	GO:0016301
TPO1	S000003951	transmembrane transport	GO:0055085
DFM1	S000002819	response to chemical	GO:0042221
SNR80	S000081374	RNA modification	GO:0009451
BUG1	S000002257	Golgi vesicle transport	GO:0048193
RET1	S000005733	nucleus	GO:0005634
NUP2	S000004327	nucleobase-containing compound transport	GO:0015931
MEC3	S000004279	nucleus	GO:0005634
TOP1	S000005366	transcription from RNA polymerase II promoter	GO:0006366
SPS1	S000002931	membrane	GO:0016020
NOC2	S000005732	nucleus	GO:0005634
RPB8	S000005750	transferase activity	GO:0016740
NUP157	S000000907	membrane	GO:0016020
PHO4	S000001930	DNA binding	GO:0003677
APM2	S000001011	cytoplasmic membrane-bounded vesicle	GO:0016023
PRP31	S000003323	cytoplasm	GO:0005737
PSH1	S000005415	nucleus	GO:0005634
YBL113C	S000002153	helicase activity	GO:0004386
HIR1	S000000104	transcription from RNA polymerase II promoter	GO:0006366
ACP1	S000001675	mitochondrion	GO:0005739
YIL161W	S000001423	cytoplasm	GO:0005737
PFF1	S000000278	cytoplasm	GO:0005737
LYS5	S000003122	cytoplasm	GO:0005737
EGD1	S000005958	protein targeting	GO:0006605
MRPL51	S000006304	ribosome	GO:0005840
PUS5	S000004155	mitochondrion	GO:0005739
CRD1	S000002301	mitochondrion	GO:0005739
YPL038W-A	S000028588	biological process	GO:0008150
BPT1	S000003938	membrane	GO:0016020
YNL035C	S000004980	molecular function	GO:0003674
DDP1	S000005689	nuclease activity	GO:0004518
SAM50	S000004971	mitochondrion	GO:0005739
YBL055C	S000000151	cytoplasm	GO:0005737
YRA2	S000001697	nucleobase-containing compound transport	GO:0015931
YLR125W	S000004115	cellular component	GO:0005575
NTH2	S000000205	oligosaccharide metabolic process	GO:0009311
FMP25	S000004067	mitochondrion organization	GO:0007005
YGL258W-A	S000007607	biological process	GO:0008150
YPR109W	S000006313	molecular function	GO:0003674
ATP8	S000007267	ion transport	GO:0006811
CSM2	S000001394	cellular response to DNA damage stimulus	GO:0006974
MIM1	S000005386	membrane	GO:0016020
OCA4	S000000691	cytoplasm	GO:0005737
YLR419W	S000004411	RNA binding	GO:0003723
YIL152W	S000001414	cellular component	GO:0005575
URM1	S000001270	RNA modification	GO:0009451
DSL1	S000005202	molecular function	GO:0003674
MPR1	S000029666	cytoplasm	GO:0005737
YMR046C	S000004649	RNA binding	GO:0003723
NOP53	S000006067	RNA binding	GO:0003723
LAA1	S000003743	cytoplasmic membrane-bounded vesicle	GO:0016023
POR2	S000001376	transmembrane transporter activity	GO:0022857
PSF2	S000003608	DNA repair	GO:0006281
YCR050C	S000000646	cellular component	GO:0005575
VHS2	S000001397	cytoskeleton organization	GO:0007010
DCD1	S000001187	hydrolase activity	GO:0016787
GRX8	S000004356	biological process	GO:0008150
RKM2	S000002606	peptidyl-amino acid modification	GO:0018193
ARN1	S000001032	plasma membrane	GO:0005886
YJL045W	S000003581	oxidoreductase activity	GO:0016491
ITR2	S000005463	plasma membrane	GO:0005886
tQ(UUG)H	S000006698	RNA binding	GO:0003723
TCO89	S000006101	response to osmotic stress	GO:0006970
AHA1	S000002622	response to heat	GO:0009408
ORM1	S000003270	molecular function	GO:0003674
ERC1	S000001074	cellular amino acid metabolic process	GO:0006520
YJL171C	S000003707	molecular function	GO:0003674
IRC20	S000004237	cytoplasm	GO:0005737
tT(AGU)N1	S000006744	triplet codon-amino acid adaptor activity	GO:0030533
CTS1	S000004276	cell wall	GO:0005618
LSP1	S000005925	plasma membrane	GO:0005886
CBP2	S000001030	RNA splicing	GO:0008380
YLR406C-A	S000028683	biological process	GO:0008150
YDL124W	S000002282	nucleus	GO:0005634
ULS1	S000005717	hydrolase activity	GO:0016787
SRP68	S000006164	nucleus	GO:0005634
THI73	S000003994	membrane	GO:0016020
SPT15	S000000950	protein binding transcription factor activity	GO:0000988
SIZ1	S000002817	chromosome	GO:0005694
SNR7-L	S000006495	mRNA processing	GO:0006397
PRM8	S000003021	molecular function	GO:0003674
CLB1	S000003340	mitotic cell cycle	GO:0000278
MRPL13	S000001714	mitochondrion	GO:0005739
DSE2	S000001186	extracellular region	GO:0005576
YBL095W	S000000191	biological process	GO:0008150
YPT53	S000005037	cytoplasm	GO:0005737
PAC2	S000000809	cytoskeletal protein binding	GO:0008092
SNR57	S000006448	nucleus	GO:0005634
tR(UCU)G3	S000006713	cytoplasm	GO:0005737
OSM1	S000003812	mitochondrion	GO:0005739
NAS2	S000001269	protein complex biogenesis	GO:0070271
BUR2	S000004216	nucleus	GO:0005634
SAC3	S000002566	membrane	GO:0016020
RDN5-1	S000006479	structural molecule activity	GO:0005198
SLA2	S000005187	protein binding, bridging	GO:0030674
YNR034W-A	S000007525	biological process	GO:0008150
TGL3	S000004930	cell budding	GO:0007114
DPL1	S000002702	lyase activity	GO:0016829
ARP4	S000003617	cellular response to DNA damage stimulus	GO:0006974
VOA1	S000003338	protein complex biogenesis	GO:0070271
YPK3	S000000232	cytoplasm	GO:0005737
HAP5	S000005885	nucleic acid binding transcription factor activity	GO:0001071
SDT1	S000003192	nucleobase-containing small molecule metabolic process	GO:0055086
ATG14	S000000332	response to starvation	GO:0042594
ADY2	S000000603	cytoplasm	GO:0005737
RPL27A	S000001052	ribosome	GO:0005840
NUP120	S000001540	protein targeting	GO:0006605
SSY5	S000003692	membrane	GO:0016020
MTR3	S000003390	molecular function	GO:0003674
OYE2	S000001222	nucleus	GO:0005634
EMP24	S000003168	Golgi vesicle transport	GO:0048193
RSM27	S000003447	mitochondrion	GO:0005739
YDL157C	S000002316	molecular function	GO:0003674
tV(AAC)H	S000006758	translational elongation	GO:0006414
RPL23A	S000000183	structural molecule activity	GO:0005198
HER2	S000004907	cellular amino acid metabolic process	GO:0006520
PXR1	S000003512	snoRNA processing	GO:0043144
YHR078W	S000001120	biological process	GO:0008150
SDH3	S000001624	protein targeting	GO:0006605
YOR296W	S000005822	cytoplasm	GO:0005737
TES1	S000003780	peroxisome	GO:0005777
BIK1	S000000534	nucleus	GO:0005634
MPC54	S000005703	structural molecule activity	GO:0005198
MSE1	S000005393	mitochondrion	GO:0005739
LTE1	S000000022	mitotic cell cycle	GO:0000278
SDS23	S000003024	molecular function	GO:0003674
SSE1	S000006027	enzyme regulator activity	GO:0030234
WBP1	S000000728	nucleus	GO:0005634
BIO5	S000005339	cofactor metabolic process	GO:0051186
tK(CUU)G2	S000006622	cytoplasm	GO:0005737
SEC5	S000002573	molecular function	GO:0003674
CMP2	S000004521	conjugation	GO:0000746
tA(AGC)F	S000006511	triplet codon-amino acid adaptor activity	GO:0030533
NDT80	S000001166	nucleic acid binding transcription factor activity	GO:0001071
SPO14	S000001739	cell morphogenesis	GO:0000902
RDI1	S000002294	signaling	GO:0023052
BPH1	S000000628	membrane	GO:0016020
RPS25A	S000003259	ribosome	GO:0005840
YDR366C	S000002774	biological process	GO:0008150
RAD53	S000006074	protein phosphorylation	GO:0006468
OST4	S000002391	cytoplasm	GO:0005737
CYC2	S000005563	cytoplasm	GO:0005737
YCT1	S000003978	amino acid transport	GO:0006865
AKL1	S000000263	cytoskeleton organization	GO:0007010
AHP1	S000004099	response to chemical	GO:0042221
GGC1	S000002357	cellular ion homeostasis	GO:0006873
SPC110	S000002764	structural molecule activity	GO:0005198
ARG8	S000005500	cytoplasm	GO:0005737
SDH7	S000002919	cytoplasm	GO:0005737
RRN7	S000003562	protein binding transcription factor activity	GO:0000988
SMC5	S000005394	cellular response to DNA damage stimulus	GO:0006974
SMA2	S000004531	cytoplasm	GO:0005737
DIA4	S000001053	tRNA aminoacylation for protein translation	GO:0006418
BUB2	S000004659	cytoskeleton	GO:0005856
VHR2	S000000866	cytoplasm	GO:0005737
RKM1	S000006129	cytoplasm	GO:0005737
YLR224W	S000004214	protein binding, bridging	GO:0030674
TIF1	S000001767	cytoplasm	GO:0005737
MCM10	S000001412	cellular response to DNA damage stimulus	GO:0006974
ROK1	S000003139	rRNA processing	GO:0006364
SAS2	S000004734	chromatin organization	GO:0006325
RPL25	S000005487	organelle assembly	GO:0070925
VPS9	S000004563	small conjugating protein binding	GO:0032182
VPS75	S000005190	regulation of protein modification process	GO:0031399
MNR2	S000001547	transmembrane transporter activity	GO:0022857
PEX32	S000000372	peroxisome	GO:0005777
CAT5	S000005651	membrane	GO:0016020
ROD1	S000005544	endocytosis	GO:0006897
PAM16	S000003640	mitochondrion	GO:0005739
YJR030C	S000003791	carbohydrate metabolic process	GO:0005975
PEX1	S000001680	membrane	GO:0016020
SNR13	S000006498	RNA modification guide activity	GO:0030555
ERV46	S000000040	molecular function	GO:0003674
PCM1	S000000784	nucleus	GO:0005634
YKL044W	S000001527	biological process	GO:0008150
PDR10	S000005855	membrane	GO:0016020
RIM101	S000001019	sporulation	GO:0043934
AVL9	S000004104	site of polarized growth	GO:0030427
ATG2	S000005186	membrane invagination	GO:0010324
PGI1	S000000400	plasma membrane	GO:0005886
YAR062W	S000000088	biological process	GO:0008150
LAP2	S000004990	nucleus	GO:0005634
YCF1	S000002542	ATPase activity	GO:0016887
YDL211C	S000002370	vacuole	GO:0005773
HSP104	S000003949	ion binding	GO:0043167
SNC2	S000005854	exocytosis	GO:0006887
NRM1	S000005292	mitotic cell cycle	GO:0000278
YLR173W	S000004163	vacuole	GO:0005773
PET18	S000000613	cytoplasm	GO:0005737
YIL002W-A	S000028835	biological process	GO:0008150
MED6	S000001100	nucleus	GO:0005634
AIM3	S000000312	membrane	GO:0016020
RIM101	S000001019	organelle fission	GO:0048285
RIM4	S000001016	DNA replication	GO:0006260
YLR346C	S000004338	cytoplasm	GO:0005737
THP1	S000005433	RNA catabolic process	GO:0006401
SLA2	S000005187	cytoskeleton	GO:0005856
ERP1	S000002129	Golgi vesicle transport	GO:0048193
SGF73	S000003034	protein acylation	GO:0043543
FTH1	S000000411	endocytosis	GO:0006897
VAM6	S000002235	enzyme binding	GO:0019899
ARE1	S000000644	transferase activity	GO:0016740
NOC3	S000003992	rRNA processing	GO:0006364
POM152	S000004736	nucleus organization	GO:0006997
YJL118W	S000003654	ribosome	GO:0005840
SNR161	S000087162	rRNA processing	GO:0006364
ATG18	S000001917	small conjugating protein binding	GO:0032182
TAM41	S000003278	cytoplasm	GO:0005737
ATP3	S000000243	ATPase activity	GO:0016887
YLR072W	S000004062	molecular function	GO:0003674
RPB7	S000002812	DNA-templated transcription, initiation	GO:0006352
BRR2	S000000974	hydrolase activity	GO:0016787
YDR336W	S000002744	biological process	GO:0008150
CUL3	S000003235	cytoplasm	GO:0005737
tV(AAC)E2	S000006754	translational elongation	GO:0006414
CTL1	S000004792	cytoplasm	GO:0005737
YBR238C	S000000442	membrane	GO:0016020
YMC2	S000000308	cytoplasm	GO:0005737
ADE17	S000004727	hydrolase activity	GO:0016787
RKM5	S000004127	protein alkylation	GO:0008213
YLR419W	S000004411	cytoplasm	GO:0005737
DPH5	S000004162	peptidyl-amino acid modification	GO:0018193
RPF2	S000001789	rRNA processing	GO:0006364
PET191	S000003795	membrane	GO:0016020
SPO16	S000001196	regulation of DNA metabolic process	GO:0051052
SNR86	S000119075	rRNA processing	GO:0006364
NUP49	S000003140	structural molecule activity	GO:0005198
VBA3	S000000574	amino acid transport	GO:0006865
YMR045C	S000004648	nucleus	GO:0005634
MEL2	S000029663	oligosaccharide metabolic process	GO:0009311
CEP3	S000004778	DNA binding	GO:0003677
YIF1	S000005207	cytoplasmic membrane-bounded vesicle	GO:0016023
GPX1	S000001509	response to oxidative stress	GO:0006979
TRM10	S000005453	transferase activity	GO:0016740
HAC1	S000001863	organelle fission	GO:0048285
COX6	S000001093	nucleobase-containing small molecule metabolic process	GO:0055086
YML6	S000004487	mitochondrion	GO:0005739
RAV1	S000003794	cellular ion homeostasis	GO:0006873
PRM7	S000002197	molecular function	GO:0003674
PFS1	S000001228	cellular component	GO:0005575
TUL1	S000001517	proteolysis involved in cellular protein catabolic process	GO:0051603
BIO2	S000003518	transferase activity	GO:0016740
TOR1	S000003827	transcription from RNA polymerase I promoter	GO:0006360
YPR1	S000002776	response to oxidative stress	GO:0006979
YAR023C	S000000074	cellular component	GO:0005575
MSB2	S000003246	signal transducer activity	GO:0004871
RNH1	S000004847	hydrolase activity	GO:0016787
ERG28	S000000846	lipid metabolic process	GO:0006629
ARG81	S000004565	nucleus	GO:0005634
PEX17	S000005158	transmembrane transport	GO:0055085
MPS3	S000003556	cytoplasm	GO:0005737
CTP1	S000000495	mitochondrion	GO:0005739
tD(GUC)L1	S000006541	RNA binding	GO:0003723
YOR376W-A	S000028586	cellular component	GO:0005575
THI11	S000003917	cellular component	GO:0005575
GAC1	S000005704	organelle fission	GO:0048285
TAX4	S000003619	protein targeting	GO:0006605
YMR050C	S000004653	transferase activity	GO:0016740
VPS74	S000002780	signaling	GO:0023052
BUD5	S000000634	site of polarized growth	GO:0030427
IML1	S000003899	vacuole	GO:0005773
GLO3	S000000924	enzyme regulator activity	GO:0030234
BMH2	S000002506	regulation of protein modification process	GO:0031399
PEX30	S000004316	membrane	GO:0016020
HOS1	S000006272	peptidyl-amino acid modification	GO:0018193
VAM7	S000003180	organelle fusion	GO:0048284
